,Acquired Immunodeficiency Syndrome,Neoplasms,Cardiomegaly,Stomach Neoplasms,Multiple Sclerosis,Glioma,"Cardiomyopathy, Dilated",Hepacivirus,Spinocerebellar Ataxias,Alzheimer Disease,"Myositis, Inclusion Body",Ovarian Neoplasms,Melanoma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Esophageal Squamous Cell Carcinoma,"Thyroid Cancer, Papillary",Osteosarcoma,Retinoblastoma,"Carcinoma, Hepatocellular",Colorectal Neoplasms,Lung Neoplasms,Breast Neoplasms,Aging,Uterine Cervical Neoplasms,Esophageal Neoplasms,Parotid Neoplasms,Tongue Neoplasms,Depression,Huntington Disease,Mental Disorders,Schizophrenia,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Prostatic Neoplasms,Adenocarcinoma of Lung,"Leukemia, Myeloid, Acute",Gallbladder Neoplasms,Colonic Neoplasms,Small Cell Lung Carcinoma,Pancreatic Neoplasms,Hematologic Neoplasms,Atherosclerosis,Periodontitis,"Aortic Aneurysm, Abdominal",Precursor Cell Lymphoblastic Leukemia-Lymphoma,Aortic Aneurysm,"Carcinoma, Basal Cell",Cardiovascular Diseases,Coronary Artery Disease,Coronary Disease,Diabetes Mellitus,Endometriosis,Intracranial Aneurysm,Frailty,Glaucoma,Leukemia,Myocardial Infarction,Nasopharyngeal Carcinoma,Neurofibromatoses,Peripheral Arterial Disease,"Neurofibroma, Plexiform",Stroke,"Diabetes Mellitus, Type 2",Thyroid Neoplasms,Hypertension,Primary Myelofibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",Medulloblastoma,Bone Diseases,"Osteoporosis, Postmenopausal",Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Mood Disorders,Autism Spectrum Disorder,"Leukemia, Lymphoid",Lymphoma,"Carcinoma, Embryonal",Autoimmune Diseases,Kidney Neoplasms,Head and Neck Neoplasms,Liver Cirrhosis,Osteoarthritis ,"Lymphoma, Mantle-Cell",Adrenocortical Carcinoma,Beckwith-Wiedemann Syndrome,Hydatidiform Mole,Choriocarcinoma,Congenital Hyperinsulinism,"Neoplasms, Germ Cell and Embryonal",Gestational Trophoblastic Disease,Glioblastoma,Hyperhomocysteinemia,Infertility,Liver Neoplasms,Marek Disease,Meningioma,Neural Tube Defects,Neuroblastoma,Obesity,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Pre-Eclampsia,Silver-Russell Syndrome,Trophoblastic Neoplasms,Wilms Tumor,Diabetic Cardiomyopathies,"Colitis, Ulcerative",Pneumoconiosis,"Heart Defects, Congenital",Parkinson Disease,Adenocarcinoma,Gastrointestinal Neoplasms,"Arthritis, Rheumatoid",Gastrointestinal Stromal Tumors ,Asthenozoospermia,Squamous Cell Carcinoma of Head and Neck,"Diabetes Mellitus, Type 1",Uterine Neoplasms,Multiple Myeloma,Hemangioma,"Carcinoma, Ovarian Epithelial",Pulmonary Arterial Hypertension,Amyotrophic Lateral Sclerosis,"Vitreoretinopathy, Proliferative",Congenital Microtia,HIV,Diabetic Retinopathy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Substance-Related Disorders,Myelodysplastic Syndromes,"Purpura, Thrombocytopenic",Metabolic Syndrome,Myopia,"Leukemia, Myeloid",Down Syndrome,Psoriasis,Burkitt Lymphoma,Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Asthma,"Leukemia, Promyelocytic, Acute ","Lymphoma, B-Cell ",Rhabdomyosarcoma,"Anemia, Aplastic ",Dyskeratosis Congenita,"Renal Insufficiency, Chronic",Hepatoblastoma,"Carcinoma, Squamous Cell",Urinary Bladder,Klinefelter Syndrome,"Glomerulonephritis, Membranous"
DLEU1,0.07975478,0.96851647,0.06460074,0.9576546,0.08412706,0.93343735,0.194262,0.23726688,0.073040634,0.93318295,0.0587867,0.92994654,0.18888144,0.92555225,0.46763605,0.41850558,0.05689038,0.32810938,0.06715214,0.47379518,0.46717343,0.29184955,0.47695917,0.07430376,0.17615862,0.09581801,0.07359335,0.07359335,0.06522437,0.356189,0.06377782,0.7124617,0.0899473,0.2510023,0.97275484,0.8481662,0.19299494,0.1255403,0.0871294,0.17511965,0.063517205,0.30723238,0.0638841,0.055850316,0.35824585,0.37251744,0.22488001,0.51337683,0.36051244,0.49269888,0.056463555,0.20594537,0.067579746,0.057302758,0.39939553,0.17338058,0.14423862,0.57340324,0.55035335,0.16235094,0.35646456,0.13791005,0.18807884,0.06185681,0.5889944,0.073163174,0.5569326,0.06344634,0.57254666,0.056455564,0.052552413,0.052552413,0.1633728,0.12864807,0.05713726,0.064899966,0.064903334,0.55500704,0.5652445,0.056123406,0.55742496,0.5341637,0.55796635,0.06911701,0.08419595,0.5605866,0.056038752,0.056221657,0.055963762,0.056011006,0.05605052,0.05595712,0.05596119,0.13298452,0.05606846,0.05611226,0.07018886,0.056053516,0.059653338,0.055920176,0.26097187,0.055982,0.05599586,0.083624706,0.05593598,0.06510049,0.055969138,0.055958692,0.06183981,0.05894532,0.05604833,0.056052268,0.05611256,0.060423102,0.06977408,0.06216532,0.05937647,0.059629984,0.060001545,0.059121914,0.05576502,0.05630002,0.07665399,0.05653438,0.06224383,0.05660595,0.057424553,0.056794588,0.057630427,0.057273097,0.05636233,0.06710646,0.08432608,0.06788847,0.06482305,0.06565223,0.05919745,0.05919745,0.057445463,0.07335851,0.06440126,0.06439604,0.06439698,0.064467244,0.06440115,0.06417739,0.06447625,0.06446794,0.06087906,0.05768534,0.06868016,0.062338624,0.062338896,0.0712624,0.07125751,0.06379416,0.06420261
DNM3OS,0.5339802,0.46721452,0.052228373,0.86995244,0.14394464,0.7674266,0.11768468,0.12962484,0.05456127,0.44709137,0.051646892,0.7774397,0.2784351,0.7548856,0.41110063,0.23055609,0.05045723,0.13278818,0.052638557,0.4438294,0.41072965,0.10562395,0.9437515,0.05887346,0.073566206,0.0591177,0.05432921,0.05432921,0.0524036,0.15257935,0.05207135,0.5860722,0.05784232,0.09214765,0.9384408,0.594297,0.078565516,0.067895874,0.05709956,0.07464167,0.05177084,0.1152253,0.05194115,0.04966002,0.049995143,0.049916305,0.050009385,0.050011177,0.05001855,0.050052047,0.04988032,0.04991489,0.052714787,0.049875297,0.050357383,0.049988456,0.049986426,0.054540206,0.05020067,0.07225883,0.049899574,0.04992115,0.04989831,0.05129903,0.5574108,0.054107025,0.051983185,0.051725287,0.05449525,0.049978193,0.049337257,0.049337257,0.07381329,0.06420427,0.05057966,0.052366715,0.052367806,0.049956784,0.5517672,0.049883086,0.056834083,0.08162838,0.05434365,0.053055357,0.05645379,0.052287422,0.049864713,0.049915005,0.04984425,0.049857248,0.04986708,0.04984207,0.04984353,0.06679676,0.049872164,0.049885258,0.05341187,0.049868632,0.05081223,0.049831495,0.10011001,0.04984708,0.04985251,0.05636613,0.049835704,0.05217844,0.049837608,0.04984282,0.05107741,0.05063974,0.049867094,0.049868323,0.049885307,0.051031355,0.0583679,0.051477406,0.050740477,0.05080648,0.050905503,0.05067231,0.04961845,0.049937896,0.054834496,0.050001867,0.05145438,0.050020184,0.050239578,0.05007189,0.050293997,0.050363142,0.049953666,0.05262869,0.056500446,0.05280819,0.05208744,0.052285835,0.05063076,0.05063076,0.05070864,0.065804616,0.052064884,0.05206286,0.052063316,0.05208101,0.052065555,0.052006803,0.052083597,0.05208191,0.052859545,0.050306033,0.048892986,0.052278917,0.05228034,0.054231722,0.054230407,0.05191699,0.05202129
DSCAM-AS1,0.5520619,0.44743252,0.05242743,0.85114145,0.49759728,0.7429313,0.43500948,0.4381326,0.05544406,0.35519758,0.051463723,0.6384591,0.188135,0.73170155,0.41983366,0.20785221,0.1432353,0.40851796,0.05207123,0.59572154,0.86503536,0.09734333,0.9497067,0.05802869,0.07019633,0.057770997,0.0536054,0.0536054,0.052002996,0.14072105,0.05185537,0.5810127,0.056711067,0.08590802,0.93021804,0.62036085,0.07463236,0.5062892,0.056007072,0.07111817,0.051304612,0.10674508,0.051538765,0.04941605,0.049713355,0.049644984,0.049727987,0.049717955,0.04973473,0.049753465,0.049613327,0.04964403,0.05213699,0.04960631,0.05014038,0.04971038,0.049708903,0.05364518,0.049876735,0.06908354,0.049629427,0.0496509,0.049630478,0.050883982,0.5562638,0.053373236,0.050480094,0.051262755,0.053508498,0.049703766,0.072739735,0.07273973,0.07006952,0.061875653,0.050252695,0.05193106,0.051930726,0.04967435,0.42523196,0.049618643,0.05225066,0.07748453,0.051861674,0.05244113,0.055434957,0.051285736,0.049601592,0.049646843,0.049583193,0.049594898,0.049603667,0.049581245,0.049582586,0.06444047,0.04960823,0.049620025,0.05276206,0.049605094,0.050450392,0.04957171,0.09296562,0.0495853,0.049590606,0.055358537,0.049575515,0.051668886,0.049577728,0.049581915,0.050703675,0.05028999,0.049603693,0.049604826,0.049620084,0.050646897,0.06239988,0.051150735,0.050418142,0.050475635,0.050573844,0.0503541,0.04950033,0.049668383,0.05401072,0.049725983,0.051026452,0.049743537,0.04994066,0.049789537,0.04998929,0.0501313,0.04968317,0.05206234,0.055472642,0.052220985,0.05158347,0.051759057,0.050407473,0.050407473,0.050837588,0.09191726,0.051597327,0.05159034,0.05159245,0.05160682,0.05160352,0.05153826,0.051609732,0.051613268,0.25548017,0.050025284,0.048780493,0.05414948,0.054155502,0.054041766,0.054040376,0.05180216,0.051909942
EPB41L4A-AS1,0.5481299,0.92443705,0.0526736,0.87706804,0.15986267,0.7796992,0.48427212,0.4973216,0.12371533,0.31302074,0.052043527,0.29847392,0.25291198,0.7581162,0.41646615,0.24313511,0.052499287,0.14223397,0.0531857,0.48226908,0.50914013,0.11199008,0.48584214,0.057330206,0.076357946,0.060334846,0.055021733,0.055021733,0.0527162,0.16187629,0.052393895,0.58975035,0.05918595,0.09694472,0.9410755,0.64899254,0.08308525,0.067503765,0.058103874,0.07759794,0.052232075,0.12211534,0.052422233,0.049920507,0.050362498,0.050254177,0.05037556,0.050460443,0.050383165,0.05049955,0.050163645,0.050236862,0.053259734,0.050164122,0.05136189,0.050339267,0.050338507,0.056010433,0.051084884,0.07485379,0.050243,0.050246056,0.05024539,0.05172186,0.55844927,0.05480433,0.05611641,0.052185096,0.055727392,0.05026678,0.049519725,0.049519725,0.07621297,0.06921659,0.05226667,0.052693862,0.052694235,0.05034872,0.53574467,0.050167516,0.07696517,0.085666604,0.05720182,0.053655528,0.05740274,0.0543579,0.05014058,0.05019612,0.050118115,0.050132386,0.050143305,0.050115738,0.050117336,0.06890194,0.05014883,0.050163135,0.054036867,0.0501449,0.051187135,0.050104205,0.105470404,0.050121363,0.050127234,0.05729812,0.050108854,0.052680917,0.05011454,0.050116517,0.051885597,0.050998177,0.050143175,0.05014457,0.05016312,0.05141696,0.06741583,0.051928133,0.051108126,0.051180456,0.05129081,0.051032726,0.05201596,0.050235994,0.055614218,0.05030641,0.051912367,0.05033104,0.050572034,0.05038857,0.050631125,0.05090174,0.050251164,0.053175334,0.057450466,0.053372644,0.05258144,0.05279868,0.052361038,0.052361038,0.051534172,0.09724501,0.052563693,0.05256203,0.052562386,0.052582063,0.052563984,0.052500248,0.052584793,0.052582536,0.054755814,0.050691534,0.055596657,0.053470083,0.053472433,0.055030547,0.055029035,0.053379644,0.053527642
ESRG,0.55331564,0.4580266,0.051596805,0.8376291,0.062341604,0.7060988,0.0808145,0.09293681,0.06673268,0.34445587,0.0526714,0.2522559,0.30569294,0.4018116,0.38807282,0.19586381,0.050709598,0.112973176,0.051879894,0.43081906,0.35452306,0.09373558,0.45732033,0.055706874,0.06886328,0.057289526,0.05341738,0.05341738,0.05164711,0.13091432,0.051400635,0.578802,0.05625713,0.08319081,0.84606063,0.13460477,0.072657764,0.06277704,0.055619407,0.06969109,0.051148992,0.10115459,0.05130443,0.04953067,0.054807648,0.053506166,0.054241337,0.060953617,0.054029606,0.06236579,0.0496424,0.052377667,0.05193406,0.04992324,0.546054,0.05388045,0.054147627,0.14296821,0.067838326,0.06779144,0.053504728,0.052968502,0.054375567,0.050935246,0.555848,0.053118236,0.37580258,0.05120242,0.05447623,0.049623985,0.04911264,0.04911264,0.07033778,0.06447449,0.05263334,0.051707387,0.051708214,0.053945903,0.33785808,0.049588297,0.06570949,0.07569497,0.063035905,0.052231595,0.05507647,0.067319654,0.04952414,0.049569197,0.049505986,0.049517214,0.049526352,0.049504176,0.049505297,0.0635071,0.049530778,0.049541432,0.05253836,0.049527414,0.05036321,0.04949535,0.08987516,0.049513567,0.049513485,0.054998185,0.049499303,0.05149481,0.04950685,0.04950491,0.050920565,0.050206736,0.049526375,0.04952702,0.049541414,0.050521847,0.058561377,0.050918333,0.050279085,0.050335374,0.050421365,0.050220095,0.049490575,0.049593564,0.05372271,0.049649626,0.05093933,0.049667194,0.049857594,0.04971312,0.049903974,0.05035065,0.049604576,0.051872652,0.05511,0.052020893,0.05142595,0.051587943,0.052130707,0.052130707,0.05146549,0.076994225,0.05140871,0.05140675,0.051407233,0.051422168,0.051409762,0.051358864,0.051424474,0.051423285,0.055009127,0.04991718,0.04903213,0.051632795,0.05163362,0.0538616,0.053860407,0.051360913,0.051451314
GAS5,0.2182638,0.9830196,0.15721005,0.9814315,0.24102053,0.97866523,0.08797663,0.087406754,0.09200814,0.8269483,0.10895129,0.9778162,0.92391527,0.9776026,0.9825673,0.9224336,0.10431336,0.96694344,0.18864138,0.98397636,0.9818974,0.96155703,0.98453635,0.22658601,0.92744863,0.33018965,0.22647679,0.22647679,0.16410762,0.46906883,0.15431194,0.4406319,0.30976006,0.9566871,0.9838488,0.96938777,0.94013524,0.89000994,0.7447123,0.58893096,0.15719213,0.96393275,0.15227647,0.09079695,0.10025032,0.09818448,0.10044956,0.10170387,0.100847,0.10264556,0.0964937,0.097876854,0.36113447,0.09629463,0.10051436,0.0999658,0.099898666,0.24245007,0.109140754,0.9267015,0.09747071,0.09816367,0.09736306,0.14203301,0.8117503,0.22861044,0.5581158,0.15808387,0.21586642,0.09875863,0.07267315,0.07267315,0.4097067,0.35459402,0.098128326,0.16283517,0.16284096,0.09931055,0.66641766,0.09625637,0.17249665,0.9414166,0.25291783,0.7083277,0.29260615,0.533333,0.09586693,0.09716373,0.09533123,0.095680736,0.095987365,0.09528825,0.09531265,0.3976815,0.09611756,0.09642086,0.20726177,0.09599365,0.12417581,0.095015116,0.59438854,0.09533217,0.09556945,0.2890274,0.09513166,0.16950537,0.09511756,0.09529224,0.12435817,0.1189286,0.09595444,0.095985524,0.096432015,0.13110738,0.19273688,0.14274035,0.121368274,0.12335347,0.12620158,0.119443394,0.086884856,0.09932739,0.24978362,0.10118674,0.14923777,0.10174874,0.10836371,0.10311126,0.11001275,0.10734865,0.099924296,0.18805115,0.29155746,0.19434686,0.16909254,0.17606705,0.10883441,0.10883441,0.10655207,0.10870041,0.15579572,0.15576342,0.15577106,0.15626158,0.15579669,0.15421638,0.1563374,0.15626858,0.13389245,0.10796124,0.071175985,0.14457668,0.14457673,0.21113114,0.21109772,0.15549476,0.15866214
GHET1,0.07004223,0.4727096,0.06231324,0.9569056,0.07240021,0.93040824,0.053839564,0.053765267,0.05437095,0.43221724,0.056478407,0.9177096,0.15117598,0.92398036,0.96529484,0.4139653,0.055628642,0.6293229,0.064549185,0.97132015,0.95987356,0.2762907,0.97633684,0.07017539,0.15622959,0.08985066,0.070161976,0.07016197,0.06253155,0.34691215,0.06143817,0.19869527,0.08463013,0.23440658,0.97257435,0.5791544,0.17801899,0.11650148,0.08177239,0.16118078,0.061343372,0.2949461,0.06169451,0.05422701,0.055216204,0.054991595,0.055275373,0.055179063,0.05530177,0.055297565,0.054917093,0.054999404,0.0649336,0.05488261,0.05521488,0.05522274,0.05521489,0.070486695,0.055205267,0.15030213,0.054927763,0.055024736,0.05492115,0.05969154,0.08436154,0.069848776,0.05573089,0.061219186,0.06936615,0.055229556,0.05180496,0.05180496,0.14420286,0.104083374,0.055216953,0.06237338,0.06237404,0.055085957,0.062916614,0.05492618,0.05669269,0.18775982,0.0598464,0.066204004,0.07941821,0.05982319,0.054876428,0.055032518,0.05481239,0.05485341,0.05488564,0.054805905,0.054810196,0.12313595,0.054901365,0.054941844,0.06721051,0.054889705,0.05797798,0.05477275,0.3802544,0.054815184,0.05483864,0.07896386,0.054785952,0.06275625,0.054788627,0.054807805,0.05805016,0.057374556,0.054884903,0.054888744,0.05494232,0.058706105,0.06592548,0.06019533,0.057762895,0.057983723,0.058307417,0.057540983,0.053624675,0.05508187,0.07280327,0.055284902,0.060205042,0.055345815,0.056056872,0.055508327,0.056236867,0.055764835,0.055140443,0.06450943,0.07957139,0.06518915,0.06250836,0.063237585,0.05645224,0.05645224,0.055807926,0.056333385,0.06214789,0.062143438,0.06214424,0.062205743,0.06214767,0.06195206,0.062213667,0.062206283,0.059045777,0.05628719,0.051639665,0.060198054,0.060198057,0.06782921,0.067825004,0.061543792,0.061900828
H19,0.49145415,0.98699546,0.48554125,0.9869167,0.48689032,0.9867745,0.4769555,0.47686034,0.47751847,0.8975569,0.48177975,0.98664534,0.98490715,0.9866673,0.9869448,0.9866348,0.47925112,0.9863403,0.48292705,0.9871125,0.98694503,0.9861417,0.9871541,0.4867816,0.9853838,0.9840969,0.48415178,0.48415178,0.48307383,0.5325179,0.48330843,0.97041833,0.51507527,0.4863189,0.9871036,0.9863565,0.5079264,0.48646206,0.9839753,0.985496,0.4835879,0.9861999,0.4843481,0.97561055,0.47934756,0.47960427,0.4790242,0.48056415,0.4792818,0.48099172,0.97550976,0.48251295,0.48305863,0.97092485,0.48124364,0.4790932,0.47911903,0.48592913,0.478973,0.98551345,0.47955036,0.48012137,0.47968668,0.48165494,0.5796549,0.9828656,0.4835209,0.48169437,0.48918554,0.97693944,0.47271568,0.47271568,0.48606566,0.48648703,0.4780019,0.48265323,0.4826516,0.47824186,0.48318422,0.97603136,0.48044744,0.9856733,0.48182622,0.48559082,0.98380804,0.48149517,0.976542,0.9767704,0.9764648,0.97651887,0.9765693,0.9764566,0.9764621,0.9848805,0.9765898,0.9766377,0.98204255,0.976568,0.9792856,0.9764042,0.98590815,0.97646534,0.9765007,0.983722,0.9764241,0.9813251,0.9763644,0.9764581,0.9796181,0.979081,0.9765593,0.97656816,0.97664154,0.9799527,0.48494172,0.48048908,0.47905576,0.47920126,0.4794168,0.47889405,0.47709996,0.82749116,0.48389032,0.8336351,0.49899805,0.73830557,0.7586774,0.8027315,0.76130843,0.7168486,0.8012707,0.48251608,0.4843419,0.482617,0.4829942,0.48263487,0.47976717,0.47976717,0.48478445,0.4822352,0.48317844,0.48335186,0.4832475,0.48341504,0.48295933,0.48340055,0.48332298,0.4831339,0.48124218,0.48695877,0.46998793,0.48162633,0.48162642,0.48350042,0.48349968,0.48634613,0.48656946
HAR1A,0.08333291,0.47516334,0.070211686,0.96736836,0.08715549,0.9525657,0.06037062,0.06051531,0.057706453,0.95240414,0.06151532,0.8898249,0.2157115,0.93726027,0.47303626,0.44306126,0.059546016,0.83330727,0.07412112,0.47763652,0.85070616,0.3463308,0.9791133,0.08548825,0.22018921,0.11684052,0.08343519,0.08343519,0.5689808,0.90092397,0.56123817,0.77210546,0.10787653,0.31450492,0.97695315,0.788548,0.25055277,0.16335534,0.10325542,0.22841722,0.0688394,0.3645659,0.06921187,0.057415184,0.058979053,0.058624797,0.059070606,0.058928553,0.0591117,0.059116047,0.058484215,0.05863274,0.0749545,0.058437258,0.05901687,0.058986865,0.05897512,0.08390522,0.0590689,0.2132357,0.058524765,0.058674395,0.05851585,0.06612258,0.5787838,0.08294449,0.059931237,0.068642125,0.08211877,0.05895042,0.054396268,0.054396268,0.20687509,0.13943128,0.059049677,0.073694944,0.07372001,0.058773603,0.0712978,0.05848125,0.06140199,0.2619353,0.0663997,0.0770593,0.099320784,0.06637865,0.058405377,0.058646798,0.05830637,0.058369998,0.058421426,0.058296848,0.05830296,0.17121603,0.05844564,0.05850667,0.07844458,0.05842648,0.06330576,0.058245957,0.32037526,0.058310237,0.05834786,0.09848153,0.058266614,0.07109834,0.058268946,0.058299262,0.06347788,0.062365696,0.05841914,0.058424987,0.058507465,0.06449908,0.07626142,0.06685088,0.062973246,0.06332493,0.06383838,0.06262293,0.056536768,0.058775026,0.08801406,0.059092693,0.06696527,0.0591879,0.060306735,0.05944153,0.06059133,0.059855532,0.058864262,0.07405637,0.099567406,0.07518952,0.07072714,0.07193537,0.06070382,0.06070382,0.059918538,0.060913164,0.0699417,0.06993493,0.06993621,0.07003511,0.069941364,0.06962653,0.07004862,0.07003599,0.06520335,0.060633235,0.05351397,0.06694824,0.06694829,0.07954664,0.079539604,0.06902208,0.069601305
HAR1B,0.083152086,0.4747478,0.07021033,0.96736807,0.087097004,0.95249546,0.05788109,0.057886913,0.057672102,0.9523872,0.06123452,0.8219167,0.21452677,0.9246807,0.47299838,0.44306034,0.059542187,0.735604,0.07412078,0.4776145,0.83293784,0.34631887,0.97909343,0.084275626,0.22018404,0.116839275,0.083355896,0.083355896,0.55167294,0.9009187,0.51973,0.77210534,0.10787641,0.3145043,0.97695124,0.56865805,0.2505486,0.16142179,0.103254355,0.2284141,0.06883939,0.36456138,0.069211654,0.057413906,0.05897103,0.0586191,0.0590633,0.05891431,0.059104417,0.05909947,0.058482885,0.058628112,0.0749544,0.058433767,0.05898523,0.058980573,0.05896856,0.08387545,0.058981426,0.21323563,0.05851896,0.05866963,0.058509104,0.06611662,0.4897266,0.08294442,0.05980706,0.06863571,0.08187577,0.05895029,0.054009493,0.054009493,0.20232819,0.13937265,0.05898292,0.07166685,0.07167436,0.058766928,0.071276724,0.058480978,0.06131013,0.26178542,0.06636274,0.077058464,0.09932026,0.066350125,0.05840533,0.058646575,0.058306333,0.05836996,0.058421355,0.058296807,0.058302924,0.17121586,0.05844558,0.05850663,0.07844455,0.058426432,0.063304685,0.058245912,0.32035717,0.058309726,0.05834781,0.09848139,0.05826656,0.07109831,0.05826873,0.058299225,0.06342674,0.062365178,0.058419093,0.058424942,0.058507424,0.06449907,0.07621251,0.066850625,0.06297314,0.063324824,0.06383826,0.06262282,0.056529865,0.05877447,0.088014066,0.059092123,0.06696346,0.059187274,0.060306124,0.05944085,0.060590744,0.059844706,0.05886379,0.07405574,0.09956544,0.07518937,0.07072576,0.07193438,0.0606959,0.0606959,0.05989961,0.06079919,0.06994163,0.06993487,0.06993615,0.070035055,0.06994129,0.06962647,0.07004856,0.07003592,0.06512602,0.0606327,0.053508393,0.06693224,0.06693227,0.0795132,0.07950617,0.06902089,0.06960011
HCP5,0.5527993,0.52108747,0.051332723,0.823192,0.0731087,0.7123775,0.51924455,0.5291312,0.2608772,0.4473736,0.05565747,0.2581286,0.50692755,0.6478105,0.37697655,0.18128541,0.052366942,0.110026605,0.051506907,0.42466393,0.3442585,0.08900732,0.5629493,0.065063536,0.06681997,0.056429517,0.05314571,0.05314571,0.05150631,0.12238771,0.05137686,0.57581687,0.055517446,0.07951554,0.9151782,0.5352751,0.07029618,0.06277648,0.054921012,0.06757778,0.050840057,0.095489234,0.050990596,0.04925637,0.051084995,0.050507355,0.0509838,0.05214755,0.05085738,0.0527505,0.049424168,0.050215777,0.0515567,0.04955597,0.33108592,0.050767582,0.050853994,0.062545665,0.054905757,0.06586168,0.05058331,0.05040087,0.050936498,0.050520424,0.55511475,0.05264028,0.22637817,0.0508352,0.055165946,0.049438626,0.050062075,0.050062075,0.0711112,0.06696844,0.061810795,0.051681012,0.05168216,0.0507523,0.43856478,0.04939771,0.08145858,0.073349796,0.06267466,0.05183346,0.054419316,0.06056308,0.049345706,0.049388,0.049329054,0.04933948,0.049347796,0.04932741,0.04932846,0.06205898,0.04935185,0.049361777,0.052113768,0.04934875,0.050119806,0.049319208,0.08565166,0.049336474,0.049335998,0.05435067,0.049322784,0.051160518,0.04933135,0.04932798,0.05117538,0.049996253,0.04934767,0.04934839,0.049361736,0.050265454,0.06634326,0.05068891,0.05005966,0.05011064,0.050195985,0.050003376,0.049940158,0.049445096,0.053188585,0.049497783,0.05066891,0.049514987,0.04969034,0.049558774,0.049731787,0.050857864,0.04944704,0.051499285,0.054446183,0.051636193,0.05108722,0.05123751,0.051718082,0.051718082,0.053190622,0.49961817,0.051080253,0.05107785,0.051078487,0.051092014,0.051081892,0.051033776,0.051094234,0.05109365,0.06211196,0.049739294,0.049466968,0.05269956,0.052702066,0.05503334,0.05503173,0.051259108,0.05134772
HIF1A-AS1,0.08042447,0.52568406,0.068971254,0.9648713,0.08421662,0.947862,0.056536045,0.05643055,0.05733152,0.9375018,0.060498226,0.8775555,0.2350392,0.94323933,0.95737463,0.43705153,0.05908723,0.7637002,0.07264892,0.5227648,0.9534654,0.6440922,0.97682977,0.08102882,0.7053432,0.111664325,0.08098235,0.08098235,0.069411635,0.3889909,0.06776601,0.2544741,0.103167795,0.29862878,0.9758469,0.88472676,0.2348237,0.15340954,0.09971424,0.2146414,0.067724325,0.35192943,0.06805483,0.05841269,0.34808013,0.26664567,0.095089056,0.5572012,0.21191874,0.55768865,0.058515947,0.13038497,0.0734533,0.059564,0.061954185,0.08958473,0.09243049,0.57972527,0.5538734,0.19959617,0.11919902,0.10076785,0.13604984,0.07542705,0.60198003,0.08094172,0.5588741,0.070498735,0.079624295,0.05852864,0.053616136,0.053616136,0.1869642,0.13105884,0.0585141,0.06919703,0.06919804,0.07877509,0.07069478,0.05808617,0.068357706,0.7448243,0.0733425,0.07618321,0.09576237,0.46819416,0.05801409,0.058244575,0.05791997,0.057979845,0.05802902,0.05791107,0.05791668,0.16047221,0.058051858,0.058109026,0.076581866,0.05803369,0.06281653,0.057863317,0.7998745,0.057933472,0.057959396,0.09486521,0.05788295,0.06983924,0.057889935,0.05791342,0.062777445,0.061732095,0.05802701,0.058032192,0.05810986,0.06368327,0.07447665,0.0658984,0.062301006,0.06262901,0.06310697,0.061974462,0.056249075,0.058345784,0.085204795,0.058645733,0.066923745,0.05873831,0.059791945,0.058979668,0.060057927,0.05944605,0.058425527,0.07260339,0.09577742,0.07361026,0.06964335,0.0706821,0.060350314,0.060350314,0.059422534,0.060197078,0.06872556,0.068718806,0.06871999,0.06881123,0.06872526,0.06843536,0.06882273,0.06881203,0.06421393,0.06008816,0.053473305,0.06595603,0.06595604,0.07754378,0.07753735,0.067906134,0.06844023
